country,date,source,generation_gwh
United Kingdom,2020-08-01T00:00:00Z,Hydro,306.0045
United Kingdom,2020-08-01T00:00:00Z,Nuclear,3147.3576666666663
United Kingdom,2020-08-01T00:00:00Z,Solar,1189.5478247948333
United Kingdom,2020-08-01T00:00:00Z,Wind,3365.0999166666666
United Kingdom,2020-09-01T00:00:00Z,Biomass,1007.5139166666667
United Kingdom,2020-09-01T00:00:00Z,Gas,8946.06975
United Kingdom,2020-09-01T00:00:00Z,Hydro,360.61358333333334
United Kingdom,2020-09-01T00:00:00Z,Nuclear,3415.666833333333
United Kingdom,2020-09-01T00:00:00Z,Solar,1055.6972902588334
United Kingdom,2020-09-01T00:00:00Z,Wind,4110.545416666667
United Kingdom,2020-10-01T00:00:00Z,Biomass,1332.0866666666666
United Kingdom,2020-10-01T00:00:00Z,Gas,8291.42075
United Kingdom,2020-10-01T00:00:00Z,Hydro,520.6626666666666
United Kingdom,2020-10-01T00:00:00Z,Nuclear,4528.613916666666
United Kingdom,2020-10-01T00:00:00Z,Solar,506.7485444298333
United Kingdom,2020-10-01T00:00:00Z,Wind,5262.026
United Kingdom,2020-11-01T00:00:00Z,Biomass,1554.6600833333332
United Kingdom,2020-11-01T00:00:00Z,Gas,8622.514833333333
United Kingdom,2020-11-01T00:00:00Z,Hydro,670.689
United Kingdom,2020-11-01T00:00:00Z,Nuclear,4244.0365
United Kingdom,2020-11-01T00:00:00Z,Solar,312.0133539043333
United Kingdom,2020-11-01T00:00:00Z,Wind,4822.2635
United Kingdom,2020-12-01T00:00:00Z,Biomass,1805.3075833333332
United Kingdom,2020-12-01T00:00:00Z,Gas,9821.608583333333
United Kingdom,2020-12-01T00:00:00Z,Hydro,673.0773333333333
United Kingdom,2020-12-01T00:00:00Z,Nuclear,4662.982416666667
United Kingdom,2020-12-01T00:00:00Z,Solar,207.6102838413333
United Kingdom,2020-12-01T00:00:00Z,Wind,5280.322583333333
United Kingdom,2021-01-01T00:00:00Z,Biomass,1645.6967499999998
United Kingdom,2021-01-01T00:00:00Z,Gas,11104.98825
United Kingdom,2021-01-01T00:00:00Z,Hydro,533.2391666666666
United Kingdom,2021-01-01T00:00:00Z,Nuclear,4259.5794166666665
United Kingdom,2021-01-01T00:00:00Z,Solar,233.54212392091665
United Kingdom,2021-01-01T00:00:00Z,Wind,4858.825083333333
United Kingdom,2021-02-01T00:00:00Z,Biomass,1543.0100833333333
United Kingdom,2021-02-01T00:00:00Z,Gas,7894.8358333333335
United Kingdom,2021-02-01T00:00:00Z,Hydro,421.61358333333334
United Kingdom,2021-02-01T00:00:00Z,Nuclear,3261.3934166666663
United Kingdom,2021-02-01T00:00:00Z,Solar,448.14612348016664
United Kingdom,2021-02-01T00:00:00Z,Wind,5769.499416666667
United Kingdom,2021-03-01T00:00:00Z,Biomass,1976.7445833333331
United Kingdom,2021-03-01T00:00:00Z,Gas,9455.126833333334
United Kingdom,2021-03-01T00:00:00Z,Hydro,513.7489166666667
United Kingdom,2021-03-01T00:00:00Z,Nuclear,3329.8244999999997
United Kingdom,2021-03-01T00:00:00Z,Solar,845.7562950378333
United Kingdom,2021-03-01T00:00:00Z,Wind,4793.592833333333
United Kingdom,2021-04-01T00:00:00Z,Biomass,1377.5608333333332
United Kingdom,2021-04-01T00:00:00Z,Gas,10341.01175
United Kingdom,2021-04-01T00:00:00Z,Hydro,485.42966666666666
United Kingdom,2021-04-01T00:00:00Z,Nuclear,3575.823083333333
United Kingdom,2021-04-01T00:00:00Z,Solar,1482.6853490322499
United Kingdom,2021-04-01T00:00:00Z,Wind,2802.054083333333
United Kingdom,2021-05-01T00:00:00Z,Biomass,1664.5699166666666
United Kingdom,2021-05-01T00:00:00Z,Gas,9181.870666666666
United Kingdom,2021-05-01T00:00:00Z,Hydro,340.1669166666666
United Kingdom,2021-05-01T00:00:00Z,Nuclear,3392.105583333333
United Kingdom,2021-05-01T00:00:00Z,Solar,1356.6500476519166
United Kingdom,2021-05-01T00:00:00Z,Wind,3269.8761666666664
United Kingdom,2021-06-01T00:00:00Z,Biomass,1586.0855
United Kingdom,2021-06-01T00:00:00Z,Gas,7575.553583333333
United Kingdom,2021-06-01T00:00:00Z,Hydro,242.32999999999998
United Kingdom,2021-06-01T00:00:00Z,Nuclear,3824.827583333333
United Kingdom,2021-06-01T00:00:00Z,Solar,1444.9741600490831
United Kingdom,2021-06-01T00:00:00Z,Wind,2516.9883333333332
United Kingdom,2021-07-01T00:00:00Z,Biomass,1600.7412499999998
United Kingdom,2021-07-01T00:00:00Z,Gas,8852.690083333333
United Kingdom,2021-07-01T00:00:00Z,Hydro,234.20158333333333
United Kingdom,2021-07-01T00:00:00Z,Nuclear,3290.7211666666667
United Kingdom,2021-07-01T00:00:00Z,Solar,1461.0223256160832
United Kingdom,2021-07-01T00:00:00Z,Wind,1952.0913333333333
United Kingdom,2021-08-01T00:00:00Z,Biomass,1303.2710833333333
United Kingdom,2021-08-01T00:00:00Z,Gas,7628.093416666667
United Kingdom,2021-08-01T00:00:00Z,Hydro,247.5905833333333
United Kingdom,2021-08-01T00:00:00Z,Nuclear,3296.8350833333334
United Kingdom,2021-08-01T00:00:00Z,Solar,1113.8409377495832
United Kingdom,2021-08-01T00:00:00Z,Wind,3123.094583333333
United Kingdom,2021-09-01T00:00:00Z,Biomass,1109.7418333333333
United Kingdom,2021-09-01T00:00:00Z,Gas,8934.001833333334
United Kingdom,2021-09-01T00:00:00Z,Hydro,294.85741666666667
United Kingdom,2021-09-01T00:00:00Z,Nuclear,3509.2673333333332
United Kingdom,2021-09-01T00:00:00Z,Solar,929.0340284661667
United Kingdom,2021-09-01T00:00:00Z,Wind,2969.7204166666666
United Kingdom,2021-10-01T00:00:00Z,Biomass,1584.15475
United Kingdom,2021-10-01T00:00:00Z,Gas,7378.0005
United Kingdom,2021-10-01T00:00:00Z,Hydro,546.4736666666666
United Kingdom,2021-10-01T00:00:00Z,Nuclear,3362.376583333333
United Kingdom,2021-10-01T00:00:00Z,Solar,552.3066656844167
United Kingdom,2021-10-01T00:00:00Z,Wind,5897.140833333333
United Kingdom,2021-11-01T00:00:00Z,Biomass,1695.5226666666665
United Kingdom,2021-11-01T00:00:00Z,Gas,9319.446333333333
United Kingdom,2021-11-01T00:00:00Z,Hydro,630.4718333333333
United Kingdom,2021-11-01T00:00:00Z,Nuclear,4049.18275
United Kingdom,2021-11-01T00:00:00Z,Solar,354.7734544180833
United Kingdom,2021-11-01T00:00:00Z,Wind,5496.286666666666
United Kingdom,2021-12-01T00:00:00Z,Biomass,1930.4189166666665
United Kingdom,2021-12-01T00:00:00Z,Gas,9949.491083333332
United Kingdom,2021-12-01T00:00:00Z,Hydro,581.2955833333333
United Kingdom,2021-12-01T00:00:00Z,Nuclear,4255.24975
United Kingdom,2021-12-01T00:00:00Z,Solar,161.68360810008332
