country,date,source,generation_gwh
United States,2022-05-01,Other,84342.24
United States,2022-05-01,Solar,203088.798
United States,2022-05-01,Wind,632537.086
United States,2022-06-01,Coal,1138333.734
United States,2022-06-01,Gas,2171006.219
United States,2022-06-01,Hydro,405875.538
United States,2022-06-01,Nuclear,989166.732
United States,2022-06-01,Oil,10773.333
United States,2022-06-01,Other,90206.697
United States,2022-06-01,Solar,209730.933
United States,2022-06-01,Wind,509795.28
United States,2022-07-01,Coal,1335193.323
United States,2022-07-01,Gas,2631632.73
United States,2022-07-01,Hydro,381712.885
United States,2022-07-01,Nuclear,1036698.477
United States,2022-07-01,Oil,13965.27
United States,2022-07-01,Other,111212.959
United States,2022-07-01,Solar,207520.599
United States,2022-07-01,Wind,441746.961
United States,2022-08-01,Coal,1305845.853
United States,2022-08-01,Gas,2608637.039
United States,2022-08-01,Hydro,336983.168
United States,2022-08-01,Nuclear,1037531.682
United States,2022-08-01,Oil,13954.442
United States,2022-08-01,Other,115630.418
United States,2022-08-01,Solar,189125.066
United States,2022-08-01,Wind,369377.679
United States,2022-09-01,Coal,990756.142
United States,2022-09-01,Gas,2160606.133
United States,2022-09-01,Hydro,272107.122
United States,2022-09-01,Nuclear,960775.872
United States,2022-09-01,Oil,9324.735
United States,2022-09-01,Other,109833.381
United States,2022-09-01,Solar,174313.168
United States,2022-09-01,Wind,413317.263
United States,2022-10-01,Coal,845123.178
United States,2022-10-01,Gas,1814385.268
United States,2022-10-01,Hydro,222306.282
United States,2022-10-01,Nuclear,872839.926
United States,2022-10-01,Oil,10051.398
United States,2022-10-01,Other,113145.507
United States,2022-10-01,Solar,158210.636
United States,2022-10-01,Wind,486783.444
United States,2022-11-01,Coal,871444.818
United States,2022-11-01,Gas,1726371.763
United States,2022-11-01,Hydro,268463.676
United States,2022-11-01,Nuclear,934071.024
United States,2022-11-01,Oil,9665.772
United States,2022-11-01,Other,100233.249
United States,2022-11-01,Solar,116151.424
United States,2022-11-01,Wind,618650.118
United States,2022-12-01,Coal,1138003.85
United States,2022-12-01,Gas,1949315.137
United States,2022-12-01,Hydro,327713.112
United States,2022-12-01,Nuclear,1039766.379
United States,2022-12-01,Oil,26951.628
United States,2022-12-01,Other,101657.713
United States,2022-12-01,Solar,91019.321
United States,2022-12-01,Wind,580589.745
United States,2023-01-01,Coal,947654.301
United States,2023-01-01,Gas,1891661.898
United States,2023-01-01,Hydro,345059.295
United States,2023-01-01,Nuclear,1066445.901
United States,2023-01-01,Oil,9987.138
United States,2023-01-01,Other,105182.112
United States,2023-01-01,Solar,105208.78600000001
United States,2023-01-01,Wind,579717.171
United States,2023-02-01,Coal,711495.838
United States,2023-02-01,Gas,1718842.966
United States,2023-02-01,Hydro,304781.976
United States,2023-02-01,Nuclear,914378.766
United States,2023-02-01,Oil,14624.772
United States,2023-02-01,Other,89763.534
United States,2023-02-01,Solar,123894.942
United States,2023-02-01,Wind,626698.188
United States,2023-03-01,Coal,772216.562
United States,2023-03-01,Gas,1832828.767
United States,2023-03-01,Hydro,324062.64400000003
United States,2023-03-01,Nuclear,927089.481
